algorithm_name,steps_forward,steps_backward,total_steps,score,total_time,normal_total_time,external_time,grid_size
JDFSSolver,46.0,14.0,60.0,2.359375,0.00011766199953854084,0.00011766199953854084,0.0,"8,8"
JMCMFSolver,32.0,0.0,32.0,2.140625,0.0023362699942663314,0.0023362699942663314,0.0,"8,8"
JGuidedJDFSSolver_JDFSSolver,32.0,0.0,32.0,4.046875,0.00868533696513623,0.00013332698261365295,0.008552009982522576,"8,8"
JGuidedJDFSSolver_JMCMFSolver,32.0,0.0,32.0,3.796875,0.008581503964960576,0.00013047293527051806,0.008451031029690057,"8,8"
JDFSSolver,40.0,0.0,40.0,2.5125,0.0013076690025627612,0.0013076690025627612,0.0,"8,10"
JMCMFSolver,40.0,0.0,40.0,2.4125,0.003533084015361965,0.003533084015361965,0.0,"8,10"
JGuidedJDFSSolver_JDFSSolver,40.0,0.0,40.0,3.5125,0.01091444907709956,0.00017425511963665486,0.010740193957462906,"8,10"
JGuidedJDFSSolver_JMCMFSolver,40.0,0.0,40.0,3.5375,0.010811700962949543,0.00017238495871424675,0.010639316004235297,"8,10"
JDFSSolver,48.0,0.0,48.0,2.3125,0.00011916599236428737,0.00011916599236428737,0.0,"8,12"
JMCMFSolver,48.0,0.0,48.0,2.1041666666666665,0.0051256629987619816,0.0051256629987619816,0.0,"8,12"
JGuidedJDFSSolver_JDFSSolver,48.0,0.0,48.0,3.6875,0.013445135056972504,0.00022124203620478512,0.013223893020767718,"8,12"
JGuidedJDFSSolver_JMCMFSolver,48.0,0.0,48.0,3.729166666666666,0.013386945030651987,0.00021671000868082047,0.013170235021971167,"8,12"
JDFSSolver,56.0,0.0,56.0,2.580357142857143,0.00015291900839656592,0.00015291900839656592,0.0,"8,14"
JMCMFSolver,56.0,0.0,56.0,2.2767857142857144,0.007638947993982583,0.007638947993982583,0.0,"8,14"
JGuidedJDFSSolver_JDFSSolver,56.0,0.0,56.0,3.580357142857143,0.016518497916404157,0.0002800589334219694,0.01623843898298219,"8,14"
JGuidedJDFSSolver_JMCMFSolver,56.0,0.0,56.0,3.2232142857142856,0.01637440520571545,0.0002750781481154263,0.016099327057600022,"8,14"
JDFSSolver,64.0,0.0,64.0,2.7109375,0.0002603010158054531,0.0002603010158054531,0.0,"8,16"
JMCMFSolver,64.0,0.0,64.0,1.9921875,0.009439509003423155,0.009439509003423155,0.0,"8,16"
JGuidedJDFSSolver_JDFSSolver,64.0,0.0,64.0,3.6015625,0.019068667052779344,0.00032894606003537776,0.01873972099274397,"8,16"
JGuidedJDFSSolver_JMCMFSolver,64.0,0.0,64.0,3.6328125,0.01853678711690009,0.0003235821006819606,0.018213205016218127,"8,16"
JDFSSolver,20.0,0.0,20.0,2.2,3.4658992663025854e-05,3.4658992663025854e-05,0.0,"10,4"
JMCMFSolver,20.0,0.0,20.0,2.0,0.000981685002334416,0.000981685002334416,0.0,"10,4"
JGuidedJDFSSolver_JDFSSolver,20.0,0.0,20.0,3.8,0.005352134003769607,7.595300441607833e-05,0.005276180999353528,"10,4"
JGuidedJDFSSolver_JMCMFSolver,20.0,0.0,20.0,3.8,0.005281374980695546,7.404298754408956e-05,0.005207331993151456,"10,4"
JDFSSolver,33.0,3.0,36.0,2.75,8.700901176780462e-05,8.700901176780462e-05,0.0,"10,6"
JMCMFSolver,30.0,0.0,30.0,1.8166666666666667,0.002155721990857273,0.002155721990857273,0.0,"10,6"
JGuidedJDFSSolver_JDFSSolver,30.0,0.0,30.0,2.4166666666666665,0.008336300044320524,0.00012370999669656158,0.008212590047623963,"10,6"
JGuidedJDFSSolver_JMCMFSolver,30.0,0.0,30.0,2.25,0.008675836045295001,0.00012159099336713553,0.008554245051927865,"10,6"
JDFSSolver,53.0,13.0,66.0,2.8875,0.00017943699844181538,0.00017943699844181538,0.0,"10,8"
JMCMFSolver,40.0,0.0,40.0,2.2375,0.0038581530004739763,0.0038581530004739763,0.0,"10,8"
JGuidedJDFSSolver_JDFSSolver,40.0,0.0,40.0,3.5375,0.011102357916533948,0.00017673790687695146,0.010925620009656996,"10,8"
JGuidedJDFSSolver_JMCMFSolver,40.0,0.0,40.0,3.5875,0.010922768095042557,0.00017356499098241328,0.010749203104060143,"10,8"
JDFSSolver,91.0,41.0,132.0,3.16,0.0016913640103302897,0.0016913640103302897,0.0,"10,10"
JMCMFSolver,50.0,0.0,50.0,2.46,0.005588171987328678,0.005588171987328678,0.0,"10,10"
JGuidedJDFSSolver_JDFSSolver,50.0,0.0,50.0,3.24,0.014393758021760732,0.0002334280265495181,0.014160329995211213,"10,10"
JGuidedJDFSSolver_JMCMFSolver,50.0,0.0,50.0,3.7,0.013929191997740417,0.00022359604947268962,0.013705595948267727,"10,10"
JDFSSolver,60.0,0.0,60.0,2.841666666666667,0.00017321600578725337,0.00017321600578725337,0.0,"10,12"
